City_ID,City,Country,Date,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
103,Santa Cruz,BO,2020-11-12 04:13:37,-17.8,-63.17,scattered clouds,71.6,88,40,3.36
104,Ayan,RU,2020-11-12 04:15:48,56.45,138.17,overcast clouds,30.42,88,98,2.21
105,Castro,BR,2020-11-12 04:11:18,-24.79,-50.01,overcast clouds,61.5,96,100,3.0
106,Benguela,AO,2020-11-12 04:15:49,-12.58,13.41,overcast clouds,77.31,78,98,2.15
107,Pochutla,MX,2020-11-12 04:15:49,15.74,-96.47,broken clouds,77.0,87,56,3.0
108,Hammerfest,NO,2020-11-12 04:15:49,70.66,23.68,clear sky,37.4,86,0,10.29
109,Tiksi,RU,2020-11-12 04:15:49,71.69,128.87,overcast clouds,2.97,92,99,4.32
110,Dikson,RU,2020-11-12 04:12:27,73.51,80.55,overcast clouds,2.44,94,98,4.18
111,Rocky Mount,US,2020-11-12 04:11:00,35.94,-77.79,heavy intensity rain,71.6,94,90,8.05
112,Sao Gotardo,BR,2020-11-12 04:15:50,-19.31,-46.05,light rain,69.01,100,100,1.41
113,Cascais,PT,2020-11-12 04:15:50,38.7,-9.42,overcast clouds,61.0,84,100,4.52
114,Hobart,AU,2020-11-12 04:15:48,-42.88,147.33,scattered clouds,75.2,41,40,25.28
115,Belfast,GB,2020-11-12 04:15:51,54.58,-5.93,few clouds,46.4,81,14,12.75
116,Kathmandu,NP,2020-11-12 04:12:30,27.72,85.32,few clouds,62.6,63,20,0.89
117,Angren,UZ,2020-11-12 04:15:51,41.02,70.14,moderate rain,41.76,78,100,2.68
118,Alice Town,BS,2020-11-12 04:15:51,25.72,-79.3,overcast clouds,80.69,83,100,26.57
119,Asau,RO,2020-11-12 04:15:52,46.43,26.4,overcast clouds,42.8,87,90,5.82
120,Binga,ZW,2020-11-12 04:15:53,-17.62,27.34,overcast clouds,73.94,77,100,4.5
121,Jamestown,US,2020-11-12 04:12:25,42.1,-79.24,overcast clouds,44.01,87,90,11.41
122,Alyangula,AU,2020-11-12 04:15:53,-13.85,136.42,broken clouds,93.2,44,69,12.75
123,Narsaq,GL,2020-11-12 04:14:42,60.92,-46.05,clear sky,22.35,80,0,6.89
124,Butaritari,KI,2020-11-12 04:12:50,3.07,172.79,overcast clouds,81.72,77,100,13.44
125,Labuhan,ID,2020-11-12 04:15:54,-6.88,112.21,overcast clouds,89.74,60,100,12.01
126,College,US,2020-11-12 04:14:02,64.86,-147.8,broken clouds,25.0,85,75,1.97
127,Marawi,PH,2020-11-12 04:15:55,8.0,124.29,moderate rain,86.0,74,97,4.0
128,Zabaykalsk,RU,2020-11-12 04:15:55,49.63,117.32,clear sky,28.15,90,0,21.25
129,Kutum,SD,2020-11-12 04:15:56,14.2,24.67,clear sky,61.39,33,0,9.53
130,Hamilton,US,2020-11-12 04:12:24,39.18,-84.53,clear sky,41.0,80,1,11.41
131,Hobyo,SO,2020-11-12 04:15:56,5.35,48.53,broken clouds,79.74,75,67,14.05
132,Srednekolymsk,RU,2020-11-12 04:15:57,67.45,153.68,overcast clouds,-12.24,89,100,7.47
133,Khandyga,RU,2020-11-12 04:15:57,62.67,135.6,overcast clouds,4.86,94,94,1.88
134,Taoudenni,ML,2020-11-12 04:14:04,22.68,-3.98,clear sky,73.92,22,0,12.12
135,Matara,LK,2020-11-12 04:15:57,5.95,80.54,heavy intensity rain,83.44,71,98,3.02
136,Ryotsu,JP,2020-11-12 04:15:57,38.08,138.43,few clouds,55.4,47,20,3.36
137,Severo-Kurilsk,RU,2020-11-12 04:13:17,50.68,156.12,overcast clouds,37.4,79,95,27.42
138,Villazon,BO,2020-11-12 04:15:58,-22.09,-65.59,light rain,50.79,60,11,9.57
139,Hualmay,PE,2020-11-12 04:15:58,-11.1,-77.61,overcast clouds,62.11,85,96,6.46
140,Souillac,MU,2020-11-12 04:13:32,-20.52,57.52,scattered clouds,77.0,73,40,10.29
141,Aasiaat,GL,2020-11-12 04:15:58,68.71,-52.87,overcast clouds,9.97,93,94,12.17
142,Buraydah,SA,2020-11-12 04:13:01,26.33,43.98,clear sky,64.4,100,0,4.7
143,Shahr-E Babak,IR,2020-11-12 04:15:59,30.12,55.12,overcast clouds,52.02,65,93,4.23
144,Bambanglipuro,ID,2020-11-12 04:15:59,-7.95,110.28,few clouds,89.82,58,20,8.46
145,San Cristobal,VE,2020-11-12 04:16:00,7.77,-72.22,overcast clouds,66.88,91,99,3.11
146,Lazaro Cardenas,MX,2020-11-12 04:16:00,17.96,-102.2,clear sky,76.89,83,4,3.11
147,Tungor,RU,2020-11-12 04:12:08,53.38,142.96,overcast clouds,29.35,92,88,4.76
148,Krasnyy Bogatyr,RU,2020-11-12 04:16:00,56.01,41.13,clear sky,26.92,96,0,6.38
149,Okhotsk,RU,2020-11-12 04:16:01,59.38,143.3,clear sky,7.95,86,0,14.52
150,Atar,MR,2020-11-12 04:16:01,20.52,-13.05,clear sky,77.99,18,3,4.61
151,Lae,PG,2020-11-12 04:16:01,-6.72,146.98,scattered clouds,91.4,55,40,5.82
152,Kiunga,PG,2020-11-12 04:16:01,-6.12,141.29,overcast clouds,91.65,52,100,1.83
153,Port Blair,IN,2020-11-12 04:14:02,11.67,92.75,broken clouds,83.95,73,53,19.69
154,Cuddapah,IN,2020-11-12 04:16:02,14.47,78.82,mist,80.6,88,75,1.63
155,Tiznit,MA,2020-11-12 04:16:02,29.58,-9.5,overcast clouds,64.99,35,100,0.54
156,Qasigiannguit,GL,2020-11-12 04:16:02,68.82,-51.19,broken clouds,8.24,89,79,6.13
157,Poum,NC,2020-11-12 04:16:02,-20.23,164.02,light rain,76.48,72,4,8.99
158,Baghdad,IQ,2020-11-12 04:16:03,33.34,44.4,clear sky,60.8,72,0,3.36
159,Lagoa,PT,2020-11-12 04:13:20,39.05,-27.98,overcast clouds,61.0,57,100,7.18
160,Westport,US,2020-11-12 04:12:46,41.14,-73.36,moderate rain,64.0,100,90,7.2
161,Rock Springs,US,2020-11-12 04:16:03,41.59,-109.2,broken clouds,19.4,85,75,12.75
162,Tuatapere,NZ,2020-11-12 04:16:04,-46.13,167.68,few clouds,57.99,79,20,18.01
163,Watertown,US,2020-11-12 04:13:58,42.37,-71.18,moderate rain,66.99,88,90,13.87
164,Voh,NC,2020-11-12 04:16:04,-20.97,164.7,moderate rain,80.62,64,36,5.73
